Subject	Value	Day
S1	-0.252337549416715	Day 1
S2	0.126553559125252	Day 1
S3	0.600332190851078	Day 1
S4	0.968274846986949	Day 1
S5	-0.309248005113355	Day 1
S6	-1.12406737781	Day 1
S7	0.523964728268857	Day 1
S8	-1.37574465169629	Day 1
S9	-0.708430321527613	Day 1
S10	-0.215956940632069	Day 1
S11	-0.553758761664097	Day 1
S12	-0.356659184635332	Day 1
S13	0.139862014806202	Day 1
S14	2.72075447221847	Day 1
S15	-0.420134966320933	Day 1
S16	-1.97652461327449	Day 1
S17	-0.164385873966248	Day 1
S18	-0.920884841160046	Day 1
S19	1.03827696214831	Day 1
S20	1.18853330559368	Day 1
S1	4.9982632711951	Day 2
S2	5.18753518883369	Day 2
S3	5.20627280755835	Day 2
S4	5.35012709055875	Day 2
S5	6.17895596254282	Day 2
S6	5.15931252893149	Day 2
S7	3.70556841992544	Day 2
S8	5.51965677935676	Day 2
S9	6.00957303300747	Day 2
S10	3.90197437482123	Day 2
S11	2.2997044577381	Day 2
S12	3.72090696900787	Day 2
S13	5.24649519905488	Day 2
S14	4.43823147612233	Day 2
S15	2.16023146654048	Day 2
S16	5.20294391117232	Day 2
S17	5.18465755090027	Day 2
S18	4.65205293735833	Day 2
S19	4.25067174322029	Day 2
S20	6.7035153045427	Day 2
S1	8.50074447673443	Day 3
S2	5.28324498726496	Day 3
S3	6.59296808744038	Day 3
S4	4.50084705080972	Day 3
S5	5.34528058134951	Day 3
S6	5.76804062334844	Day 3
S7	8.82839353299483	Day 3
S8	4.94345021971138	Day 3
S9	5.92900137265962	Day 3
S10	6.20097458230326	Day 3
S11	6.34156953149958	Day 3
S12	5.00486644617494	Day 3
S13	7.84930951043309	Day 3
S14	6.11213076826124	Day 3
S15	6.47270334876396	Day 3
S16	5.72006145080243	Day 3
S17	6.18953551955487	Day 3
S18	7.69057802137265	Day 3
S19	5.69362583935827	Day 3
S20	6.13904260074733	Day 3
S1	7.68655880445501	Day 4
S2	9.25648443956635	Day 4
S3	8.32545888493977	Day 4
S4	7.46552184019873	Day 4
S5	6.36556984806155	Day 4
S6	8.31676691852322	Day 4
S7	9.35757295566994	Day 4
S8	2.0889842539766	Day 4
S9	7.59396715134695	Day 4
S10	9.28989138594808	Day 4
S11	8.08196597300671	Day 4
S12	7.06836799127575	Day 4
S13	8.37578471539694	Day 4
S14	10.8095500022304	Day 4
S15	8.50152813448253	Day 4
S16	7.42446285089163	Day 4
S17	4.99720680118725	Day 4
S18	5.2769392453317	Day 4
S19	4.48569629819591	Day 4
S20	7.50504288504333	Day 4
