Subject	Value	Method
S1	0.56739107034164	Method 1
S2	0.553337479669013	Method 1
S3	-1.01476899008024	Method 1
S4	-3.10103167935079	Method 1
S5	-0.0862428693172165	Method 1
S6	0.993837360367062	Method 1
S7	0.20529290437858	Method 1
S8	-0.818384890194028	Method 1
S9	-1.54686982380215	Method 1
S10	-0.603017574954059	Method 1
S11	-0.839291423868324	Method 1
S12	-0.659459646528306	Method 1
S13	1.1035648290108	Method 1
S14	-0.434064577300401	Method 1
S15	-1.52218428254885	Method 1
S16	-1.11422156927188	Method 1
S17	-0.0249478492008928	Method 1
S18	0.448794400003678	Method 1
S19	0.498524304694121	Method 1
S20	2.5	Method 1
S1	-0.191675850657126	Method 2
S2	-0.821408693071361	Method 2
S3	0.970253136702652	Method 2
S4	1.3173796442047	Method 2
S5	0.177123921789328	Method 2
S6	1.09170378439636	Method 2
S7	-0.524682948600526	Method 2
S8	0.00151897001347704	Method 2
S9	-1.41642986049409	Method 2
S10	-1.2074498541506	Method 2
S11	-2.00255145588513	Method 2
S12	0.398086355705493	Method 2
S13	0.443904374637393	Method 2
S14	0.435585260954674	Method 2
S15	-0.308981965467082	Method 2
S16	0.127278146086314	Method 2
S17	-2.45471576265288	Method 2
S18	-0.221026347593593	Method 2
S19	0.0851772029061923	Method 2
S20	2.5	Method 2
